Organisation;Location;Detail;Rocket_Status;Mission_Status;Propellant;Thrust;Payload_to_LEO;Dry_Mass;Size
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Soyuz 19 (Apollo-Soyuz);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 743;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 1012;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 18;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 727;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 18a (7K-T nâ Â­39);StatusRetired;Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 720;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 17;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 697;StatusRetired;Partial Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Soyuz 16;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 138 (LA-2B), Jiuquan Satellite Launch Center, China;Long March 2 | FSW-0 No.0;StatusRetired;Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
RVSN USSR;Site 41/1, Plesetsk Cosmodrome, Russia;Soyuz M | Cosmos 693;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 691;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 690;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 15;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 672;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 670;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 14;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz M | Cosmos 664;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Cosmos 656;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Yantar-2K nâ Â­01;StatusRetired;Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 652;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 638;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Cosmos 636;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Cosmos 613;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 13;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 41/1, Plesetsk Cosmodrome, Russia;Soyuz M | Cosmos 616;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 605;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 12;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 587;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 41/1, Plesetsk Cosmodrome, Russia;Soyuz M | Cosmos 576;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Cosmos 573;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/3, Plesetsk Cosmodrome, Russia;Soyuz U | Cosmos 559;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 41/1, Plesetsk Cosmodrome, Russia;Soyuz M | Cosmos 541;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 110/37, Baikonur Cosmodrome, Kazakhstan;N1-L3 | 7L (Soyuz 7K-LOK No.1);StatusRetired;Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz M | Cosmos 502;StatusRetired;Partial Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Cosmos 496;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 41/1, Plesetsk Cosmodrome, Russia;Soyuz M | Cosmos 470;StatusRetired;Partial Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz L | Cosmos 434 (T2K Lunar Lander);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 11;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 10;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China;Long March 1 | Shijian 1;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz L | Cosmos 398 (T2K Lunar Lander);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz L | Cosmos 379 (T2K Lunar Lander);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 9;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China;Long March 1 | Dong Fang Hong 1;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China;Long March 1 | Test flight;StatusRetired;Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 8;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 7;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 6;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 5;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 4;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 3;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 2;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz | Cosmos 238;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Cosmos 213;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz | Cosmos 212;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Cosmos 188;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz | Cosmos 186;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 1;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz | Cosmos 140;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz | Soyuz 7K-OK nâ Â­1;StatusRetired;Prelaunch Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
RVSN USSR;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz | Cosmos 133;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
